,date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
220,2021-11-11,51.0099983,51.0699997,50.4099998,50.5299988,49.7546921,25420000.0,25420000.0,-1.25531,-2.461,50.41156,"November 11, 21",-0.02461
221,2021-11-10,50.9799995,51.3899994,50.7099991,50.7599983,49.9811592,25040700.0,25040700.0,-0.99884,-1.959,50.69372,"November 10, 21",-0.01959
222,2021-11-09,51.5400009,51.7700005,50.7700005,51.2000008,50.4144135,22508400.0,22508400.0,-1.12559,-2.184,50.9848,"November 09, 21",-0.02184
223,2021-11-08,51.4599991,51.9900017,51.0600014,51.5499992,50.7590408,31647800.0,31647800.0,-0.70096,-1.362,51.26968,"November 08, 21",-0.01362
224,2021-11-05,50.5499992,51.5800018,50.5400009,50.9199982,50.1387062,36816200.0,36816200.0,-0.41129,-0.814,50.7529,"November 05, 21",-0.00814
225,2021-11-04,50.2400017,50.3499985,49.7299995,50.3100014,49.5380707,24806000.0,24806000.0,-0.70193,-1.397,49.87269,"November 04, 21",-0.01397
226,2021-11-03,49.9300003,50.4500008,49.7099991,50.3899994,49.2741776,23962100.0,23962100.0,-0.65582,-1.313,49.81139,"November 03, 21",-0.01313
227,2021-11-02,49.6100006,49.9000015,49.2299995,49.8600006,48.7559166,27193300.0,27193300.0,-0.85408,-1.722,49.29531,"November 02, 21",-0.01722
228,2021-11-01,49.4000015,49.5999985,49.0,49.5499992,48.4527779,28013700.0,28013700.0,-0.94722,-1.917,49.01759,"November 01, 21",-0.01917
229,2021-10-29,48.0999985,49.2799988,47.9199982,49.0,47.9149551,42301000.0,42301000.0,-0.18504,-0.385,48.37165,"October 29, 21",-0.00385
230,2021-10-28,48.1399994,48.3600006,47.8800011,48.0800018,47.0153351,31317200.0,31317200.0,-1.12466,-2.336,47.75178,"October 28, 21",-0.02336
231,2021-10-27,48.5200005,48.8199997,47.8699989,47.8899994,46.8295364,41081500.0,41081500.0,-1.69046,-3.484,47.83985,"October 27, 21",-0.03484
232,2021-10-26,49.4000015,49.4399986,47.9300003,48.2799988,47.2109032,68405400.0,68405400.0,-2.1891,-4.431,48.19363,"October 26, 21",-0.04431
233,2021-10-25,49.8300018,50.0699997,49.3100014,49.4099998,48.3158798,43178800.0,43178800.0,-1.51412,-3.039,49.23196,"October 25, 21",-0.03039
