,open,high,low,close,adjClose
422,385.410004,385.850006,383.540009,383.790009,377.568481
423,383.670013,384.769989,378.459991,384.390015,378.158783
424,382.25,384.130005,381.839996,382.880005,376.673248
425,384.48999,384.950012,383.25,384.23999,378.011169
426,381.109985,384.790009,380.690002,383.890015,377.66687
427,378.339996,379.230011,376.75,378.649994,372.51181
428,376.720001,377.579987,373.700012,375.700012,369.60965
429,380.589996,381.130005,378.100006,378.459991,372.32486
430,378.690002,380.859985,377.850006,379.790009,373.633362
431,378.890015,379.859985,376.359985,378.769989,372.629852
432,377.850006,380.579987,377.720001,378.690002,372.551178
433,380.589996,381.48999,377.100006,381.26001,375.079529
434,376.100006,379.899994,375.910004,379.100006,372.954529
435,369.709991,376.980011,369.119995,373.549988,367.494446
436,368.100006,372.5,368.049988,371.329987,365.310486
437,375.309998,375.450012,364.820007,368.790009,362.811676
438,371.779999,374.660004,371.230011,373.880005,367.819122
439,372.339996,373.100006,371.570007,371.98999,365.959747
440,373.809998,374.0,370.829987,371.459991,365.438324
441,371.73999,372.589996,371.070007,372.170013,366.136902
442,368.079987,369.029999,367.450012,369.0,363.018219
443,368.279999,369.619995,367.220001,367.570007,361.61142
444,368.209991,368.329987,366.029999,367.23999,361.286743
445,364.970001,378.459991,362.029999,367.859985,361.896729
446,370.970001,371.149994,367.019989,369.179993,363.195313
447,371.940002,372.459991,371.049988,372.23999,364.651306
448,369.820007,371.160004,368.869995,370.170013,362.623566
449,367.399994,369.589996,365.920013,369.589996,362.055359
450,368.640015,369.799988,364.470001,364.660004,357.225861
451,364.899994,366.73999,363.26001,366.299988,358.832397
452,365.369995,367.859985,364.429993,366.730011,359.253693
453,370.880005,371.049988,365.950012,366.850006,359.371216
454,367.720001,370.779999,367.670013,370.170013,362.623566
455,369.019989,369.619995,367.720001,369.089996,361.565552
456,367.320007,369.850006,367.220001,369.850006,362.310059
457,366.679993,368.190002,365.5,366.690002,359.214478
458,364.820007,366.959991,364.200012,366.790009,359.312439
459,365.570007,367.679993,364.929993,366.019989,358.558136
460,362.829987,363.119995,359.170013,362.059998,354.678864
461,363.839996,364.179993,362.579987,363.670013,356.256042
462,363.130005,363.160004,361.480011,362.660004,355.266632
463,360.209991,363.809998,359.290009,363.220001,355.815216
464,357.279999,358.820007,354.869995,357.459991,350.172668
465,357.5,357.720001,355.25,355.329987,348.086029
466,355.600006,358.179993,354.149994,357.779999,350.486115
467,360.910004,361.5,356.23999,356.279999,349.016724
468,359.970001,361.920013,358.339996,360.619995,353.26825
469,360.980011,362.779999,359.589996,362.570007,355.178497
470,355.269989,358.899994,354.709991,358.100006,350.799622
471,355.579987,356.720001,351.26001,353.209991,346.009247
472,356.399994,357.559998,355.059998,356.670013,349.398743
473,353.48999,355.179993,350.51001,354.040009,346.822327
474,363.970001,364.380005,354.059998,354.559998,347.331757
475,349.929993,351.51001,347.649994,350.160004,343.021454
476,349.23999,352.190002,348.859985,350.23999,343.099823
477,340.859985,347.940002,339.589996,343.540009,336.536469
478,333.690002,338.25,330.290009,336.029999,329.179535
479,330.200012,332.359985,327.23999,330.200012,323.468414
480,328.279999,329.690002,322.600006,326.540009,319.882996
481,326.910004,333.399994,325.089996,329.980011,323.252869
482,332.100006,338.25,326.130005,326.660004,320.000549
483,339.76001,340.119995,337.98999,338.220001,331.32489
484,342.130005,342.980011,335.619995,339.390015,332.471039
485,345.929993,345.98999,343.130005,345.779999,338.730774
486,342.959991,345.23999,340.649994,344.609985,337.584564
487,343.329987,345.670013,342.399994,342.730011,335.74292
488,343.459991,346.880005,342.640015,343.380005,336.3797
489,348.649994,349.329987,341.040009,342.01001,335.037567
490,348.959991,350.75,347.100006,347.290009,340.209961
491,343.709991,348.019989,343.130005,347.5,340.41571
492,350.75,351.929993,347.140015,347.929993,340.836914
493,352.279999,352.470001,349.089996,350.130005,342.992096
494,349.589996,354.019989,349.059998,352.429993,345.245178
